Age,Months,State,Cumulative Incidence,"95% Confidence Interval, Lower","95% Confidence Interval, Upper",Survey Year
4,18,Total,0.19369924,0.115390801,0.325133384,2016
4,19,Total,0.359727161,0.245510438,0.527051941,2016
4,20,Total,0.484248101,0.348227698,0.673363326,2016
4,21,Total,0.650276021,0.48908719,0.864542027,2016
4,22,Total,0.802468282,0.620869353,1.037128207,2016
4,23,Total,1.093017142,0.877190777,1.361873622,2016
4,24,Total,1.521922603,1.262997127,1.833832604,2016
4,25,Total,1.881649764,1.591081321,2.225164495,2016
4,26,Total,2.490418805,2.15254377,2.881175422,2016
4,27,Total,2.905488606,2.538632311,3.325182363,2016
4,28,Total,3.486586328,3.082451937,3.943496414,2016
4,29,Total,4.040012729,3.603187581,4.529554747,2016
4,30,Total,4.51042517,4.047550443,5.025966766,2016
4,31,Total,4.870152331,4.388271365,5.404661929,2016
4,32,Total,5.492757032,4.979587671,6.058488847,2016
4,33,Total,6.170704373,5.625446995,6.768452146,2016
4,34,Total,6.793309075,6.220126803,7.418915562,2016
4,35,Total,7.208378876,6.617298304,7.851839544,2016
4,36,Total,7.540434716,6.935410356,8.197803878,2016
4,37,Total,7.927833197,7.306931229,8.601038789,2016
4,38,Total,8.190710738,7.559259315,8.874437842,2016
4,39,Total,8.398245638,7.758587347,9.090157552,2016
4,40,Total,8.619616199,7.971317428,9.320145062,2016
4,41,Total,8.882493739,8.224080598,9.593109031,2016
4,42,Total,9.09002864,8.423738287,9.808499084,2016
4,43,Total,9.36674184,8.690090562,10.0955438,2016
4,44,Total,9.505098441,8.823325562,10.23900729,2016
4,45,Total,9.754140321,9.063244066,10.49714608,2016
4,46,Total,9.975510882,9.276604879,10.72650286,2016
4,47,Total,10.05852484,9.356638761,10.81248807,2016
4,48,Total,10.18304578,9.476713191,10.94144228,2016
4,1,WI,0,0,0.476676311,2016
4,2,WI,0,0,0.476676311,2016
4,3,WI,0,0,0.476676311,2016
4,4,WI,0,0,0.476676311,2016
4,5,WI,0,0,0.476676311,2016
4,6,WI,0,0,0.476676311,2016
4,7,WI,0,0,0.476676311,2016
4,8,WI,0,0,0.476676311,2016
4,9,WI,0,0,0.476676311,2016
4,10,WI,0,0,0.476676311,2016
4,11,WI,0,0,0.476676311,2016
4,12,WI,0.124146493,0.006367883,0.702935701,2016
4,13,WI,0.124146493,0.006367883,0.702935701,2016
4,14,WI,0.124146493,0.006367883,0.702935701,2016
4,15,WI,0.248292986,0.068093533,0.904932039,2016
4,16,WI,0.372439479,0.126670934,1.094529268,2016
4,17,WI,0.496585971,0.193128998,1.276245834,2016
4,18,WI,0.620732464,0.265168031,1.452381432,2016
4,19,WI,0.993171943,0.503347883,1.958725471,2016
4,20,WI,1.241464929,0.674496704,2.283925911,2016
4,21,WI,1.241464929,0.674496704,2.283925911,2016
4,22,WI,1.489757914,0.852433676,2.602338199,2016
4,23,WI,1.7380509,1.035635794,2.915485342,2016
4,24,WI,2.110490379,1.318150666,3.377494361,2016
4,25,WI,2.482929857,1.607943519,3.832225399,2016
4,26,WI,3.103662322,2.103204314,4.577837756,2016
4,27,WI,3.351955307,2.30476111,4.872630221,2016
4,28,WI,3.848541279,2.712681179,5.457408673,2016
4,29,WI,4.096834264,2.918743932,5.747695181,2016
4,30,WI,4.593420236,3.334482488,6.324655146,2016
4,31,WI,5.090006207,3.754425161,6.897410994,2016
4,32,WI,5.710738672,4.284385005,7.608324302,2016
4,33,WI,6.331471136,4.819127338,8.314455121,2016
4,34,WI,6.9522036,5.357979904,9.016475707,2016
4,35,WI,7.200496586,5.574549781,9.29625509,2016
4,36,WI,7.82122905,6.118294848,9.993383174,2016
4,37,WI,8.317815022,6.555476762,10.54889978,2016
4,38,WI,8.938547486,7.104412879,11.24083682,2016
4,39,WI,9.062693979,7.214505289,11.37891904,2016
4,40,WI,9.55927995,7.655825479,11.93029737,2016
4,41,WI,10.30415891,8.320464454,12.75470618,2016
4,42,WI,11.17318436,9.099515208,13.71287783,2016
4,43,WI,12.04220981,9.882066033,14.66754942,2016
4,44,WI,12.53879578,10.33066627,15.2116477,2016
4,45,WI,13.15952824,10.89276541,15.89042172,2016
4,46,WI,13.53196772,11.23070446,16.29700656,2016
4,47,WI,13.53196772,11.23070446,16.29700656,2016
4,48,WI,13.65611421,11.34345947,16.43242618,2016
8,1,AZ,0,0,0.401538882,2016
8,2,AZ,0,0,0.401538882,2016
8,3,AZ,0,0,0.401538882,2016
8,4,AZ,0,0,0.401538882,2016
8,5,AZ,0,0,0.401538882,2016
8,6,AZ,0,0,0.401538882,2016
8,7,AZ,0,0,0.401538882,2016
8,8,AZ,0,0,0.401538882,2016
8,9,AZ,0,0,0.401538882,2016
8,10,AZ,0,0,0.401538882,2016
8,11,AZ,0,0,0.401538882,2016
8,12,AZ,0,0,0.401538882,2016
8,13,AZ,0,0,0.401538882,2016
8,14,AZ,0,0,0.401538882,2016
8,15,AZ,0,0,0.401538882,2016
8,16,AZ,0,0,0.401538882,2016
8,17,AZ,0,0,0.401538882,2016
8,18,AZ,0.104569696,0.005363724,0.592134938,2016
8,19,AZ,0.104569696,0.005363724,0.592134938,2016
8,20,AZ,0.104569696,0.005363724,0.592134938,2016
8,21,AZ,0.209139391,0.057355438,0.762294271,2016
8,22,AZ,0.418278783,0.162672094,1.075088443,2016
8,23,AZ,0.418278783,0.162672094,1.075088443,2016
8,24,AZ,0.627418174,0.287582098,1.368289266,2016
8,25,AZ,0.73198787,0.354625283,1.510301496,2016
8,26,AZ,0.836557566,0.42396338,1.650018813,2016
8,27,AZ,0.941127261,0.49522142,1.787816186,2016
8,28,AZ,1.045696957,0.56811668,1.92397634,2016
