year,abbr,male_prev,male_ci_l,male_ci_u,female_prev,female_ci_l,female_ci_u,white_prev,white_ci_l,white_ci_u,black_prev,black_ci_l,black_ci_u,hisp_prev,hisp_ci_l,hisp_ci_u,api_prev,api_ci_l,api_ci_u,aian_prev,aian_ci_l,aian_ci_u
2010,MO,23.1,20.6,25.9,5,3.9,6.3,13.7,12.1,15.6,8.4,6.4,11,12.3,7,21.7,8.5,4,17.8,,,
2010,NJ,36,33.1,39,7.5,6.2,9,22.7,20.3,25.3,17.9,15,21.2,21.4,18.5,24.6,21,15.1,29.2,,,
2010,NC,28.7,26.4,31.2,5.6,4.6,6.8,18.9,17.1,20.9,15.7,13.4,18.4,9.7,7.5,12.6,18.7,13.2,26.4,,,
2010,UT,29.2,26.3,32.4,7.4,6,9.1,19.1,17.1,21.3,9,3.7,21.6,16.6,13.3,20.7,5,2.1,12,,,
2010,WI,15.3,13.6,17.2,3.1,2.4,4,10.5,9.2,11.9,4.6,3.2,6.6,5.6,4,7.9,5.8,2.9,11.6,,,
2012,AZ,24.2,22,26.7,5.7,4.7,7,16.9,15,19.1,19.4,14,26.9,11.3,9.6,13.3,13.3,8.3,21.4,,,
2012,AR,14.1,11.6,17.1,3.4,2.3,5.1,8.9,7.2,11.1,8,5.6,11.5,,,,,,,,,
2012,CO,17.1,15.4,19,4.2,3.4,5.2,12.2,10.9,13.8,10.5,7.2,15.1,6.5,5.2,8,8.4,5.2,13.5,,,
2012,GA,25.6,23.7,27.6,5.2,4.3,6.1,18.3,16.3,20.5,13.7,12.2,15.4,9,7.2,11.2,13.7,10.3,18.1,,,
2012,MD,29.4,25,34.6,6.2,4.3,9,18.5,15.1,22.7,18.6,14.4,24,12.2,6.1,24.4,10.1,4.8,21.1,,,
2012,MO,18.9,16.7,21.4,3.8,2.8,5,12,10.5,13.8,9,7,11.7,8.1,4.2,15.6,,,,,,
2012,NJ,39.1,36.2,42.2,9.3,7.9,10.9,26.6,24,29.5,23.7,20.3,27.5,17.6,15.1,20.4,21.9,16,30,,,
2012,NC,27.5,25.3,29.9,6,5,7.2,18.9,17.1,20.8,15.5,13.2,18.2,9.1,7,11.7,18.4,13.2,25.6,,,
2012,SC,19.9,17.6,22.5,4.6,3.5,6,12.7,10.8,14.8,10.6,8.7,12.9,6.6,3.8,11.4,,,,,,
2012,UT,27.7,24.9,30.7,6.4,5.1,8,17.7,15.8,19.7,12.3,5.9,25.8,13.2,10.3,16.9,5.2,2.3,11.6,,,
2012,WI,17.2,15.4,19.2,4.1,3.2,5.2,12,10.6,13.5,5.8,4.2,8,7.4,5.5,10,3.6,1.5,8.6,,,
2014,AZ,21.1,18.7,23.8,6.6,5.3,8.2,16.2,14.1,18.6,19.5,13.3,28.6,10.3,8.5,12.5,10.3,5.5,19.1,,,
2014,AR,20.5,18.6,22.5,5.4,4.5,6.5,13.9,12.6,15.5,10.4,8.3,12.9,8.4,6.2,11.3,14.2,8.1,25.1,,,
2014,CO,21.8,19.9,23.9,5.5,4.6,6.7,15,13.5,16.7,11.4,8,16.2,10.6,9,12.5,7.9,4.8,12.9,,,
2014,GA,27.9,25.9,30,5.7,4.8,6.7,17.9,16,20.2,17.1,15.4,18.9,12.6,10.6,15,11.9,8.9,16.1,,,
2014,MD,32.7,28.1,38.2,7.2,5.2,10,19.5,16,23.8,16.5,12.7,21.4,15.7,9.1,27,13.9,7.5,25.8,,,
2014,MN,39,33.8,44.9,8.5,6.3,11.6,24.3,19.8,29.8,27.2,21.7,34.2,20.9,14.7,29.7,17.8,12.3,25.7,,,
2014,MO,22.2,19.8,25,5.6,4.4,7,14.1,12.4,16,10.8,8.6,13.6,4.9,2.2,10.9,10.7,5.8,20,,,
2014,NJ,45.5,42.4,48.9,12.3,10.7,14.1,30.2,27.4,33.3,26.8,23.3,30.9,29.3,26.2,32.9,19.2,13.9,26.6,,,
2014,NC,28,25.5,30.8,6.5,5.3,7.9,18.6,16.5,20.9,16.1,13.5,19.2,11.9,9.3,15.2,19.1,13.7,26.8,,,
2014,TN,25.3,22.6,28.2,5.4,4.2,6.9,16.1,14.3,18.2,12.5,9.7,16,10.5,7.6,14.7,12.5,6.7,23.3,,,
2014,WI,21.4,19.4,23.7,6.4,5.3,7.7,15.2,13.6,17,11.3,8.9,14.2,12.5,10,15.6,10.2,6.1,16.9,,,
2016,AZ,25.4,22.4,28.9,6,4.6,7.9,18.8,16,22,12.3,7.6,19.9,12.4,10.1,15.3,11.1,5.6,21.8,,,
2016,AR,24.3,22.3,26.5,5.4,4.5,6.5,16.6,15.1,18.2,12.1,9.9,14.8,9.6,7.3,12.7,18.6,11.8,29.1,,,
2016,CO,21.2,19.3,23.2,4.7,3.9,5.8,13,11.6,14.6,15.4,11.5,20.7,10.3,8.8,12.1,8.3,5.2,13.3,,,
2016,GA,30.4,27.5,33.6,7.1,5.7,8.7,18.9,15.9,22.5,19.7,17.1,22.6,11.3,8.9,14.4,23,17.3,30.6,,,
2016,MD,30.1,25.8,35.2,7.8,5.7,10.7,16.8,13.5,20.8,19.6,15.5,24.7,13.6,7.8,23.6,17.9,10.5,30.4,,,
2016,MN,36.3,32.1,41,9.2,7.2,11.8,24.6,20.9,28.9,25.8,21.2,31.5,17.6,12.8,24.3,16.3,11.7,22.6,,,
2016,MO,21.1,18.1,24.5,6.2,4.6,8.1,15.2,12.8,18.2,11.6,9.2,14.6,3.8,1.3,11.1,4.2,1.4,12.4,,,
2016,NJ,50,46.8,53.4,12,10.4,13.8,33.4,30.5,36.6,26.3,22.8,30.2,29.8,26.7,33.2,26.9,20.7,35,,,
2016,NC,41.2,37.5,45.3,8.7,7,10.8,23.3,20.6,26.3,27.9,23.2,33.4,19.3,15.1,24.6,28.2,20.8,38.2,,,
2016,TN,25.5,22.9,28.3,5.5,4.4,7,15.6,13.8,17.6,17.4,14.2,21.3,11.1,8.1,15.1,14.9,8.7,25.3,,,
2016,WI,26.3,24,28.7,6.3,5.2,7.6,17,15.3,18.9,13.8,11.3,16.9,15.4,12.6,18.7,15.5,10.5,22.8,,,
2018,AZ,37.9,33.6,42.7,11.2,8.9,14.1,26.9,23,31.5,26,17.6,38,20.8,17.4,24.9,,,,33,20.1,53.8
2018,AR,36.7,32.8,41.1,8.1,6.3,10.4,23.8,21,27,19.2,15.3,24,14.9,9.9,22.5,,,,,,
2018,CA,64.4,59.2,70.2,12.3,10,15.1,36.6,31,43.2,32.1,24.2,42.6,35.3,31.5,39.6,39.2,31.8,48.4,,,
2018,GA,35.2,32.1,38.7,7.8,6.3,9.5,23.3,19.8,27.3,24,21.1,27.3,11.4,9,14.5,16.6,12,23,,,
2018,MD,33.1,29.8,36.7,7.5,6,9.3,15.6,13.5,18,24.8,20.9,29.3,19.1,13.8,26.5,19.2,14.1,26.2,,,
2018,MN,43.7,38.5,49.7,10.4,7.9,13.6,25,21.1,29.7,33,26.6,40.7,18.1,12.4,26.4,21.5,13.6,33.7,,,
2018,MO,25,22.4,27.9,7.6,6.2,9.4,17.8,15.8,19.9,14.3,11.6,17.5,,,,17,10.5,27.5,,,
2018,NJ,45.6,41.4,50.1,10.1,8.2,12.5,24,20,28.7,25.6,21.8,30.1,30.1,26,34.8,29.7,20.8,42.3,,,
2018,TN,36,32.9,39.3,8.8,7.3,10.6,20.6,18.5,22.9,24.1,20.1,28.7,25.9,21.1,31.6,22.5,14.4,34.9,,,
2018,UT,33.1,30.2,36.3,9.3,7.7,11.1,22.3,20.2,24.5,,,,17.8,14.6,21.7,15.7,10,24.7,,,
2018,WI,30,27.4,32.8,7.1,5.9,8.6,18,16.1,20.1,16.5,13.5,20.1,21.3,17.7,25.6,15,10,22.4,,,
